Date,Value
200607,76.7
200608,74.2
200609,64.3
200610,53.6
200611,49.6
200612,41.7
200701,36.7
200702,27.1
200703,40.9
200704,48.6
200705,62.8
200706,70.6
200707,73.7
200708,73.4
200709,68
200710,62.1
200711,43.5
200712,35.6
200801,34.3
200802,35.2
200803,41.7
200804,53
200805,57.9
200806,73
200807,76
200808,71.3
200809,67.4
200810,53.4
200811,43.7
200812,36.6
200901,26.9
200902,35.1
200903,40.8
200904,52.5
200905,61.3
200906,67.6
200907,72
200908,74.9
200909,64.7
200910,53.4
200911,49.2
200912,34.4
201001,31.2
201002,31.1
201003,46.2
201004,55.5
201005,64
201006,73.9
201007,78.3
201008,74.9
201009,69.2
201010,56
201011,45
201012,30.8
201101,27.2
201102,34.4
201103,41.2
201104,53.9
201105,63.7
201106,71.9
201107,78.4
201108,73.5
201109,68.9
201110,55.8
201111,48.9
201112,40.5
201201,35.6
201202,38.9
201203,49.8
201204,52.6
201205,65.1
201206,70
201207,77.8
201208,74.7
201209,67
201210,56.8
201211,41.5
201212,40.6
201301,33.9
201302,32.8
201303,38.6
201304,51.5
201305,60.9
201306,71.2
201307,77.8
201308,71.4
201309,64.4
201310,57.1
201311,42.9
201312,36
201401,26
201402,29.5
201403,35.4
201404,50.3
201405,62
201406,70.6
201407,74.1
201408,70.8
201409,66.9
201410,57
201411,42
201412,38.7
201501,27.9
201502,22.3
201503,35.9
201504,51.5
201505,66.1
201506,70.3
201507,75.2
201508,74.3
201509,70.7
201510,54.5
201511,49.7
201512,48
201601,31.4
201602,36
201603,47
201604,50.7
201605,60.2
201606,70.6
201607,77.2
201608,76.9
201609,69.7
201610,56.7
201611,46.7
201612,36.3
201701,36.2
201702,40.4
201703,38.9
201704,55.9
201705,60
201706,70.4
201707,75.5
201708,71.6
201709,68.2
201710,60.4
201711,44.4
201712,33.2
201801,29.2
201802,39.4
201803,38.3
201804,48
201805,65.2
201806,70.1
201807,76.2
201808,76.8
201809,70.2
201810,56.4
201811,42.5
201812,37.8
201901,31.6
201902,34.7
201903,39.4
201904,54.8
201905,62.8
201906,70.6
201907,78
201908,74.5
201909,69
201910,58.2
201911,41.3
201912,36.4
202001,37.3
202002,39.1
202003,46.3
202004,48.7
202005,59.1
202006,71.5
202007,78.8
202008,75.5
202009,66.8
202010,57
202011,49.2
202012,37
202101,33.7
202102,32
202103,44
202104,52.6
202105,60.8
202106,71.8
202107,75.7
202108,75.9
202109,68.7
202110,61
202111,43.6
202112,41.2
202201,28.6
202202,35.6
202203,43.9
202204,51.1
202205,63.2
202206,69.9
202207,77.9
202208,77.2
202209,67.6
202210,54
202211,47.6
202212,35.5
202301,41.2
202302,39.1
202303,42.3
202304,55.4
202305,59.3
202306,67.8
202307,77.2
202308,73.2
202309,68
202310,58.4
202311,43.3
202312,41.5
202401,34.7
202402,37.4
202403,46.1
202404,52.7
202405,63.8
202406,73.6
202407,77.9
202408,73.9
202409,66.9
202410,57.6
202411,49.1
202412,34.9
202501,28.3
202502,33.7
202503,45.9
202504,53.3
